lat,lon,theta,delta_theta,y1,y2
31.0,-126.5,-0.09210807902486413,1.0859891660713084,0.46603775070424247,0.8847648359414666
31.25,-128.25,1.0210451690138589,2.1991424141100318,-0.5878075458247212,0.8090007967063557
31.25,-128.0,1.1254815131366591,2.303578758232831,-0.6689404475865942,0.7433160011614488
31.25,-127.75,1.0417887666580028,2.219886011754175,-0.6044614680296908,0.7966343789138096
31.25,-127.5,0.8902454827114052,2.068342727807577,-0.4772708619739028,0.8787562371389963
31.25,-127.25,0.6103100626325657,1.788407307728738,-0.21589756492264878,0.9764160186418854
31.25,-127.0,0.24651521052759248,1.4246124556237652,0.1456637756957733,0.9893341520689819
31.25,-126.75,0.10368541265284079,1.2817826577490132,0.28500694056795073,0.9585254528848447
31.25,-126.5,0.06071396396550331,1.2388112090616756,0.3259203941172021,0.9453972163585461
31.5,-128.25,1.127738803022007,2.305836048118179,-0.670616621608052,0.741804116207913
31.5,-128.0,0.9292453616763983,2.107342606772571,-0.5111706455452838,0.8594792441547485
31.5,-127.75,0.7385437654172359,1.9166410105134082,-0.3389914676159067,0.9407894476893401
31.5,-127.5,0.5250930216792122,1.703190266775385,-0.1320075085497629,0.9912487163605733
31.5,-127.25,0.2306228639688039,1.4087201090649764,0.16136756054606746,0.9868943765182834
31.5,-127.0,0.10932161138184021,1.2874188564780127,0.2796000023734707,0.9601165755640068
31.5,-126.75,0.31180660088672946,1.4899038459829015,0.08080428842040681,0.9967299869939058
31.5,-126.5,0.5000717981756513,1.678169043271824,-0.10716652048395066,0.9942410858978636
31.75,-128.25,2.135495072872697,-2.9695929892107173,-0.985244488710659,-0.1711528482534609
31.75,-128.0,0.7674174770000373,1.9455147220962097,-0.3660104792480897,0.9306107290809534
31.75,-127.75,0.6251020541879809,1.8031992992841532,-0.2303165566420836,0.9731157607070877
31.75,-127.5,0.5543244488511254,1.7324216939472983,-0.1609226022612493,0.9869670288725292
31.75,-127.25,0.43431540923368683,1.6124126543298587,-0.04160431589240014,0.9991341656149716
31.75,-127.0,0.3825169094409928,1.5606141545371655,0.01018199631642239,0.999948162131924
31.75,-126.75,0.7174400936081381,1.89553733870431,-0.319063344898776,0.9477333918048919
31.75,-126.5,0.7541329065408653,1.9322301516370377,-0.35361578281868755,0.9353907622707885
32.0,-128.25,-2.6612761431296788,-1.4831788980335063,0.08750536800214732,-0.9961640480216142
32.0,-128.0,-2.125613843178513,-0.9475165980823408,0.5837013313101749,-0.8119684450929909
32.0,-127.75,0.23285065190745555,1.410947897003628,0.1591685705393617,0.9872514199293189
32.0,-127.5,0.5808868131032943,1.7589840581994665,-0.18707893037857845,0.9823448853678666
32.0,-127.25,0.5130820821122352,1.691179327208408,-0.1200924446174418,0.9927627132128839
32.0,-127.0,0.44529018625940275,1.6233874313555754,-0.052566864954071445,0.9986174065721568
32.0,-126.75,0.6950780139963011,1.8731752590924735,-0.2977920491255896,0.9546307639488592
32.0,-126.5,0.6862857642807885,1.8643830093769607,-0.28938729506911354,0.9572120942887119
32.25,-128.25,-2.3564373998416372,-1.1783401547454648,0.38245900182392945,-0.9239724627519175
32.25,-128.0,-1.9398923657250609,-0.7617951206288884,0.7235981464307909,-0.6902215024772291
32.25,-127.75,-1.51639066412511,-0.3382934190289375,0.9433224151298514,-0.3318777201223131
32.25,-127.5,-0.4185050342025539,0.7595922108936186,0.7251168851263896,0.6886258076086041
32.25,-127.25,0.24205114003314815,1.4201483851293206,0.1500787670386971,0.9886740431932783
32.25,-127.0,0.6165435722403865,1.7946408173365587,-0.22197982962572754,0.9750512577497313
32.25,-126.75,0.9916326013061751,2.1697298464023476,-0.5637619482046978,0.8259373255619603
32.25,-126.5,0.8184489363405708,1.9965461814367433,-0.41300381238194417,0.9107292962005669
